datetime,action,price,volume
2025-07-04 00:01:28,buy,16.08,10850.86517941
2025-07-04 00:40:22,sell,16.04,674.46764594
2025-07-05 13:10:14,buy,411.3,10750.74552646
2025-07-05 13:10:19,sell,410.8,26.11903294
2025-07-05 13:10:24,buy,411.5,10742.61075365
2025-07-05 13:10:29,sell,411.6,26.08658758
2025-07-05 13:12:44,buy,411.5,10711.01467878
2025-07-05 13:12:50,sell,411.5,26.01618267
2025-07-05 13:12:55,buy,412.1,10682.1067974
2025-07-05 13:13:00,sell,412.1,25.90819156
2025-07-05 13:13:05,buy,411.5,10655.89288918
2025-07-05 13:13:10,sell,411.5,25.85716179
2025-07-05 13:13:16,buy,411.5,10637.48905428
2025-07-05 13:13:21,sell,411.9,25.81250378
2025-07-05 13:13:26,buy,411.9,10626.85688397
2025-07-05 13:13:31,sell,411.9,25.7741894
2025-07-05 13:13:37,buy,413.5,10611.08308006
2025-07-05 13:13:42,sell,413.4,25.64879694
2025-07-05 13:13:47,buy,413.5,10579.96852449
2025-07-05 13:13:52,sell,413.0,25.57358776
2025-07-05 13:13:57,buy,413.0,10556.61344547
2025-07-05 13:14:02,sell,413.0,25.51713455
2025-07-05 13:14:08,buy,413.4,10525.65860955
2025-07-05 13:14:19,sell,412.4,25.44846584
2025-07-05 13:14:24,buy,412.4,10489.70247216
2025-07-05 13:14:29,sell,412.5,25.3615327
2025-07-05 13:14:35,buy,413.4,10456.4040478
2025-07-05 13:14:40,sell,412.0,25.28102526
2025-07-05 13:14:45,buy,412.0,10410.57713331
2025-07-05 13:14:50,sell,413.3,25.17631706
2025-07-05 13:14:55,buy,412.0,10369.97528679
2025-07-05 13:15:01,sell,413.1,25.09026942
2025-07-05 13:15:01,buy,413.1,10337.04054464
2025-07-05 13:15:06,sell,413.1,25.01058345
2025-07-05 13:21:59,buy,413.4,10304.21040227
2025-07-05 13:22:06,sell,412.3,24.91908612
2025-07-05 13:22:12,buy,413.3,10269.0047174
2025-07-05 13:22:17,sell,413.3,24.8339468
2025-07-05 13:30:30,buy,412.0,10236.40147035
2025-07-05 13:31:30,sell,412.1,24.83924076
2025-07-05 13:32:30,buy,412.6,10236.10091553
2025-07-05 13:33:30,sell,412.1,24.7723556
2025-07-05 13:34:31,buy,412.1,10203.58596019
2025-07-05 13:35:31,sell,412.0,24.74159186
2025-07-05 13:40:11,buy,412.5,10176.07702128
2025-07-05 13:41:11,sell,413.6,24.65096699
2025-07-05 13:42:11,buy,414.6,10175.7614889
2025-07-05 13:43:12,sell,415.8,24.54313129
2025-07-05 13:44:13,buy,416.4,10199.93401891
2025-07-05 13:46:13,sell,414.6,24.5127051
2025-07-05 14:11:28,buy,417.1,10160.33864636
2025-07-05 14:25:17,buy,415.6,10155.05041299
2025-07-05 14:30:08,sell,409.0,24.42245641
2025-07-05 14:31:29,buy,412.7,9983.7928219
2025-07-05 14:35:11,sell,412.0,24.20276722
2025-07-05 14:42:26,buy,413.7,9966.55682123
2025-07-05 14:42:36,sell,413.9,24.05596122
2025-07-05 14:42:36,buy,413.9,9943.38834616
2025-07-05 14:42:46,sell,412.9,24.01163723
2025-07-05 14:43:06,buy,414.0,9917.91004096
2025-07-05 14:43:17,sell,414.0,23.94432629
2025-07-05 14:43:27,buy,414.2,9891.24444198
2025-07-05 14:43:37,sell,414.0,23.8684182
2025-07-05 14:43:37,buy,414.0,9876.58684637
2025-07-05 14:43:47,sell,414.0,23.83304817
2025-07-05 14:43:58,buy,415.3,9847.6582925
2025-07-05 14:44:08,sell,415.2,23.70029969
2025-07-05 14:44:08,buy,415.2,9811.75826354
2025-07-05 14:44:18,sell,415.3,23.61958666
2025-07-05 14:44:18,buy,415.3,9780.70441198
2025-07-05 14:44:28,sell,415.3,23.54483155
2025-07-05 14:44:39,buy,414.4,9763.86868018
2025-07-05 14:44:49,sell,415.1,23.50430333
2025-07-05 14:44:59,buy,414.2,9735.3156525
2025-07-05 14:45:09,sell,414.4,23.48081079
2025-07-05 14:48:21,buy,415.4,9725.58520451
2025-07-05 14:48:32,sell,414.5,23.48567869
2025-07-05 14:49:02,buy,415.2,9718.21187568
2025-07-05 14:49:12,sell,415.3,23.40003076
2025-07-05 14:49:12,buy,415.3,9715.51502214
2025-07-05 14:49:23,sell,415.9,23.37101628
2025-07-05 14:49:33,buy,416.4,9715.14809718
2025-07-05 14:49:43,sell,416.9,23.31962181
2025-07-05 14:49:43,buy,416.9,9710.09939906
2025-07-05 14:49:53,sell,416.6,23.27954989
2025-07-05 14:49:53,buy,416.6,9705.04773673
2025-07-05 15:25:53,sell,412.7,23.2507076
2025-07-05 15:35:54,buy,414.6,9590.77167141
2025-07-05 15:40:54,sell,412.4,23.13776559
2025-07-05 15:45:54,buy,412.9,9539.55854106
2025-07-05 15:50:54,sell,413.8,23.09224694
2025-07-05 15:55:55,buy,414.8,9550.79638303
2025-07-05 16:00:55,sell,414.5,23.01355107
